timestamp;buyer;seller;symbol;currency;price;quantity
0;;SUBMISSION;DJEMBES;SEASHELLS;13409;6
0;;;CROISSANTS;SEASHELLS;4274;8
100;;SUBMISSION;CROISSANTS;SEASHELLS;4275;25
200;;SUBMISSION;CROISSANTS;SEASHELLS;4275;25
200;;SUBMISSION;DJEMBES;SEASHELLS;13409;6
200;;SUBMISSION;JAMS;SEASHELLS;6542;35
200;SUBMISSION;;KELP;SEASHELLS;2034;5
200;SUBMISSION;;SQUID_INK;SEASHELLS;1842;5
200;;;CROISSANTS;SEASHELLS;4276;8
200;;;JAMS;SEASHELLS;6543;7
200;;;KELP;SEASHELLS;2034;1
200;;;SQUID_INK;SEASHELLS;1841;1
300;;SUBMISSION;CROISSANTS;SEASHELLS;4275;25
300;;SUBMISSION;JAMS;SEASHELLS;6542;10
300;;;KELP;SEASHELLS;2032;1
300;;;SQUID_INK;SEASHELLS;1841;1
400;;SUBMISSION;CROISSANTS;SEASHELLS;4274;25
400;;SUBMISSION;DJEMBES;SEASHELLS;13410;6
500;;SUBMISSION;CROISSANTS;SEASHELLS;4274;25
500;;SUBMISSION;DJEMBES;SEASHELLS;13410;6
500;;SUBMISSION;JAMS;SEASHELLS;6541;35
500;;;KELP;SEASHELLS;2035;2
500;;;SQUID_INK;SEASHELLS;1842;2
600;;SUBMISSION;CROISSANTS;SEASHELLS;4275;5
700;;SUBMISSION;CROISSANTS;SEASHELLS;4274;25
700;;SUBMISSION;DJEMBES;SEASHELLS;13411;6
700;;SUBMISSION;JAMS;SEASHELLS;6542;35
700;;;JAMS;SEASHELLS;6542;3
800;;SUBMISSION;CROISSANTS;SEASHELLS;4274;25
800;;SUBMISSION;DJEMBES;SEASHELLS;13411;6
800;;SUBMISSION;JAMS;SEASHELLS;6542;35
900;;SUBMISSION;CROISSANTS;SEASHELLS;4274;25
900;;SUBMISSION;DJEMBES;SEASHELLS;13412;5
900;;SUBMISSION;JAMS;SEASHELLS;6542;35
900;SUBMISSION;;KELP;SEASHELLS;2032;5
900;;SUBMISSION;PICNIC_BASKET1;SEASHELLS;58697;3
900;SUBMISSION;;SQUID_INK;SEASHELLS;1835;5
1000;;SUBMISSION;CROISSANTS;SEASHELLS;4274;25
1000;;SUBMISSION;DJEMBES;SEASHELLS;13413;6
1000;;SUBMISSION;JAMS;SEASHELLS;6544;4
1100;;SUBMISSION;CROISSANTS;SEASHELLS;4274;20
1100;;SUBMISSION;DJEMBES;SEASHELLS;13413;6
1200;;SUBMISSION;DJEMBES;SEASHELLS;13412;6
1200;;SUBMISSION;JAMS;SEASHELLS;6542;35
1200;;;JAMS;SEASHELLS;6542;9
1200;;;KELP;SEASHELLS;2032;1
1200;;;SQUID_INK;SEASHELLS;1837;1
1300;;SUBMISSION;JAMS;SEASHELLS;6542;35
1300;;SUBMISSION;PICNIC_BASKET1;SEASHELLS;58693;5
1300;SUBMISSION;;PICNIC_BASKET1;SEASHELLS;58693;6
1300;;;PICNIC_BASKET1;SEASHELLS;58693;1
1300;;;RAINFOREST_RESIN;SEASHELLS;10003;1
1400;;SUBMISSION;DJEMBES;SEASHELLS;13413;1
1400;;SUBMISSION;JAMS;SEASHELLS;6542;35
1500;;SUBMISSION;JAMS;SEASHELLS;6542;35
1500;;;KELP;SEASHELLS;2032;1
1500;;;SQUID_INK;SEASHELLS;1843;1
1600;SUBMISSION;;CROISSANTS;SEASHELLS;4274;8
1600;;SUBMISSION;JAMS;SEASHELLS;6542;21
